source_version,original_id,original_title,original_priority,original_acceptance,source_path,source_line,decision,polka_requirements,stages,delivery_tasks,decision_note
v1.2,PR-WS-001,Tenant → Brand Library → Workspaces hierarchy,P0,Любой объект имеет tenantId; Brand Pack не принадлежит отдельному workspace,docs/prd/v1_2.md,704,preserved,F02;F03;F07,M0;M1,P02;P03;P07,Tenant/workspace и серверные права сохраняются; deck расширяется до artifact.
v1.2,PR-WS-002,Workspace membership и deck ACL,P0,Viewer/commenter/editor/reviewer/publisher проверяются сервером,docs/prd/v1_2.md,705,preserved,F02;F03;F07,M0;M1,P02;P03;P07,Tenant/workspace и серверные права сохраняются; deck расширяется до artifact.
v1.2,PR-WS-003,Internal share link,P0,Ссылка работает только для авторизованных разрешённых пользователей tenant,docs/prd/v1_2.md,706,preserved,F02;F03;F07,M0;M1,P02;P03;P07,Tenant/workspace и серверные права сохраняются; deck расширяется до artifact.
v1.2,PR-WS-004,Draft/proposal/in-review/approved/published lifecycle,P0,Недопустимые переходы отклоняются application layer,docs/prd/v1_2.md,707,preserved,F14,M3;M4,P14,Review/release lifecycle отделён от простого сохранения и share.
v1.2,PR-WS-005,Immutable published release,P0,Изменение deck создаёт новую revision; published artifact не мутируется,docs/prd/v1_2.md,708,preserved,F04;F14,M1;M4,P04;P14,Неизменяемость любой сохранённой версии с M1; официальный release в M4.
v1.2,PR-WS-006,External controlled sharing,P1,"Expiry, watermark, classification and revoke",docs/prd/v1_2.md,709,adapted,F07;F10;F14,M1;M4,P07;P10;P14,"Audience/expiry/revoke/copy/download в M1; обязательный watermark только в принятом viewer/export profile M4, не защита от снимка экрана."
v1.2,PR-DECK-001,Versioned canonical AST,P0,JSON Schema + runtime validation + migrations,docs/prd/v1_2.md,715,adapted,F04;F09,M1;M2,P04;P09,Версии HTML-пакета и backing sources вместо обязательного DeckDocument AST.
v1.2,PR-DECK-002,Stable IDs,P0,Comments/sources/lineage переживают reorder и recipe switch,docs/prd/v1_2.md,716,adapted,F09;F14;F16,M2;M3,P09;P14;P16,Стабильные IDs для поддержанных блоков/источников плюс явный orphan anchor для произвольного HTML.
v1.2,PR-DECK-003,Structured rich text,P0,Canonical storage не содержит произвольный HTML,docs/prd/v1_2.md,717,retired,F08;F09;F24,M0;M2,P08;P09;P24,"Отменён запрет HTML в каноническом содержимом. Оригинальные files/bundle сохраняются, исполняются только в разрешённом профиле."
v1.2,PR-DECK-004,Semantic roles,P0,headline/claim/evidence/context/recommendation/action/annotation/decoration,docs/prd/v1_2.md,718,adapted,F09;F15,M2;M4,P09;P15,"Роли/schema/fixtures полезны в recipes, но не являются обязательным словарём всех артефактов."
